Date,Open,High,Low,Close,Adj Close,Volume
28-Jun-23,128.94,131.48,128.44,129.04,129.04,"52,149,500"
27-Jun-23,128.63,130.09,127.55,129.18,129.18,"46,801,000"
26-Jun-23,129.33,131.49,127.1,127.33,127.33,"59,989,300"
23-Jun-23,129.11,130.84,128.28,129.33,129.33,"71,855,200"
22-Jun-23,125.31,130.33,125.14,130.15,130.15,"90,354,600"
21-Jun-23,125.64,126.73,123.85,124.83,124.83,"52,137,700"
20-Jun-23,124.97,127.25,124.5,125.78,125.78,"56,930,100"
16-Jun-23,127.71,127.9,125.3,125.49,125.49,"84,188,100"
15-Jun-23,125.21,127.69,124.32,127.11,127.11,"60,458,500"
14-Jun-23,126.7,126.95,124.12,126.42,126.42,"52,422,500"
13-Jun-23,128.12,128.41,125.18,126.66,126.66,"50,564,800"
12-Jun-23,124.02,126.78,123.53,126.57,126.57,"51,338,000"
09-Jun-23,124.08,125.8,123.19,123.43,123.43,"51,330,000"
08-Jun-23,123.01,125.63,122.26,124.25,124.25,"62,159,300"
07-Jun-23,127.01,127.37,120.63,121.23,121.23,"95,663,300"
06-Jun-23,125.07,127.4,125,126.61,126.61,"45,695,200"
05-Jun-23,123.36,125.8,123.03,125.3,125.3,"47,950,100"
02-Jun-23,124.92,126.39,124.02,124.25,124.25,"61,215,000"
01-Jun-23,120.69,123.49,119.93,122.77,122.77,"54,375,100"
31-May-23,121.45,122.04,119.17,120.58,120.58,"72,800,800"
30-May-23,122.37,122.92,119.86,121.66,121.66,"64,314,800"
26-May-23,116.04,121.5,116.02,120.11,120.11,"96,779,900"
25-May-23,116.63,116.87,114.31,115,115,"66,496,700"
24-May-23,115.35,117.34,115.02,116.75,116.75,"63,487,900"
23-May-23,114.27,117.14,113.78,114.99,114.99,"67,576,300"
22-May-23,116.77,116.77,114.25,115.01,115.01,"70,741,100"
19-May-23,118.16,118.31,115.7,116.25,116.25,"54,990,200"
18-May-23,116.69,118.6,116.34,118.15,118.15,"73,174,100"
17-May-23,114.89,115.83,114.22,115.5,115.5,"65,655,200"
16-May-23,111.05,114.79,111.05,113.4,113.4,"71,472,900"
